baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,9,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1,STAR BAKER,'Tutu with Opera Filling' Meringue Centrepiece
Chris,50,Software developer,Bristol,8,9,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,9,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,9,NA,NA,NA,NA
Julia,21,Aviation Broker,"Crawley, West Sussex",8,9,NA,NA,NA,NA
Liam,19,Student,North London,8,9,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,9,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,9,NA,NA,NA,NA
Yan,46,Laboratory research scientist,North London,8,9,NA,NA,NA,NA
Kate,29,Health and safety inspector,Merseyside,8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads",3,Runner-up,"White Chocolate, Yuzu and Lychee Entremet"
Steven,34,Marketer,"Watford, Hertfordshire",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,Runner-up,'Yin Yang' Entremet
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2,WINNER,'Ode to the Honey Bee' Entremet
Chris,50,Software developer,Bristol,8,10,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,10,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,10,NA,NA,NA,NA
Julia,21,Aviation Broker,"Crawley, West Sussex",8,10,NA,NA,NA,NA
Liam,19,Student,North London,8,10,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,10,NA,NA,NA,NA
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,10,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,10,NA,NA,NA,NA
Yan,46,Laboratory research scientist,North London,8,10,NA,NA,NA,NA
Antony,30,Banker,London,9,1,NA,12,IN,NA
Briony,33,Full-time parent,Bristol,9,1,NA,2,IN,NA
Dan,36,Full-time parent,London,9,1,NA,4,IN,NA
Jon,47,Blood courier,Newport,9,1,NA,5,IN,NA
Karen,60,In-store sampling assistant,Wakefield,9,1,NA,6,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,1,NA,10,IN,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,1,NA,8,IN,NA
Rahul,30,Research scientist,Rotherham,9,1,NA,7,IN,NA
Ruby,29,Project manager,London,9,1,NA,1,IN,NA
Terry,56,Retired air steward,West Midlands,9,1,NA,9,IN,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,1,NA,11,OUT,NA
Manon,26,Software project manager,London,9,1,NA,3,STAR BAKER,NA
Antony,30,Banker,London,9,2,NA,9,IN,NA
Briony,33,Full-time parent,Bristol,9,2,NA,5,IN,NA
Dan,36,Full-time parent,London,9,2,NA,3,IN,NA
Jon,47,Blood courier,Newport,9,2,NA,1,IN,NA
Karen,60,In-store sampling assistant,Wakefield,9,2,NA,11,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,2,NA,4,IN,NA
Manon,26,Software project manager,London,9,2,NA,6,IN,NA
Ruby,29,Project manager,London,9,2,NA,10,IN,NA
Terry,56,Retired air steward,West Midlands,9,2,NA,8,IN,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,2,NA,7,OUT,NA
Rahul,30,Research scientist,Rotherham,9,2,NA,2,STAR BAKER,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,2,NA,NA,NA,NA
Briony,33,Full-time parent,Bristol,9,3,NA,9,IN,NA
Dan,36,Full-time parent,London,9,3,NA,6,IN,NA
Jon,47,Blood courier,Newport,9,3,NA,2,IN,NA
Karen,60,In-store sampling assistant,Wakefield,9,3,NA,5,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,3,NA,10,IN,NA
Manon,26,Software project manager,London,9,3,NA,3,IN,NA
Ruby,29,Project manager,London,9,3,NA,7,IN,NA
Terry,56,Retired air steward,West Midlands,9,3,NA,1,IN,NA
Antony,30,Banker,London,9,3,NA,8,OUT,NA
Rahul,30,Research scientist,Rotherham,9,3,NA,4,STAR BAKER,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,3,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,3,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,4,NA,NA,[a],NA
Briony,33,Full-time parent,Bristol,9,4,NA,5,IN,NA
Jon,47,Blood courier,Newport,9,4,NA,3,IN,NA
Karen,60,In-store sampling assistant,Wakefield,9,4,NA,7,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,4,NA,6,IN,NA
Manon,26,Software project manager,London,9,4,NA,8,IN,NA
Rahul,30,Research scientist,Rotherham,9,4,NA,4,IN,NA
Ruby,29,Project manager,London,9,4,NA,2,IN,NA
Dan,36,Full-time parent,London,9,4,NA,1,STAR BAKER,NA
Antony,30,Banker,London,9,4,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,4,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,4,NA,NA,NA,NA
Briony,33,Full-time parent,Bristol,9,5,NA,6,IN,NA
Dan,36,Full-time parent,London,9,5,NA,2,IN,NA
Jon,47,Blood courier,Newport,9,5,NA,7,IN,NA
Manon,26,Software project manager,London,9,5,NA,5,IN,NA
Rahul,30,Research scientist,Rotherham,9,5,NA,3,IN,NA
Ruby,29,Project manager,London,9,5,NA,1,IN,NA
Karen,60,In-store sampling assistant,Wakefield,9,5,NA,9,OUT,NA
Terry,56,Retired air steward,West Midlands,9,5,NA,8,OUT,NA
Kim-Joy,27,Mental health specialist,Leeds,9,5,NA,4,STAR BAKER,NA
Antony,30,Banker,London,9,5,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,5,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,5,NA,NA,NA,NA
Jon,47,Blood courier,Newport,9,6,NA,2,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,6,NA,5,IN,NA
Manon,26,Software project manager,London,9,6,NA,4,IN,NA
Rahul,30,Research scientist,Rotherham,9,6,NA,3,IN,NA
Ruby,29,Project manager,London,9,6,NA,7,IN,NA
Dan,36,Full-time parent,London,9,6,NA,6,OUT,NA
Briony,33,Full-time parent,Bristol,9,6,NA,1,STAR BAKER,NA
Antony,30,Banker,London,9,6,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,6,NA,NA,NA,NA
Karen,60,In-store sampling assistant,Wakefield,9,6,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,6,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,6,NA,NA,NA,NA
Briony,33,Full-time parent,Bristol,9,7,NA,5,IN,NA
Manon,26,Software project manager,London,9,7,NA,2,IN,NA
Rahul,30,Research scientist,Rotherham,9,7,NA,1,IN,NA
Ruby,29,Project manager,London,9,7,NA,3,IN,NA
Jon,47,Blood courier,Newport,9,7,NA,4,OUT,NA
Kim-Joy,27,Mental health specialist,Leeds,9,7,NA,6,STAR BAKER,NA
Antony,30,Banker,London,9,7,NA,NA,NA,NA
Dan,36,Full-time parent,London,9,7,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,7,NA,NA,NA,NA
Karen,60,In-store sampling assistant,Wakefield,9,7,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,7,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,7,NA,NA,NA,NA
Briony,33,Full-time parent,Bristol,9,8,NA,1,IN,NA
Kim-Joy,27,Mental health specialist,Leeds,9,8,NA,2,IN,NA
Rahul,30,Research scientist,Rotherham,9,8,NA,5,IN,NA
Manon,26,Software project manager,London,9,8,NA,4,OUT,NA
Ruby,29,Project manager,London,9,8,NA,3,STAR BAKER,NA
Antony,30,Banker,London,9,8,NA,NA,NA,NA
Dan,36,Full-time parent,London,9,8,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,8,NA,NA,NA,NA
Jon,47,Blood courier,Newport,9,8,NA,NA,NA,NA
Karen,60,In-store sampling assistant,Wakefield,9,8,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,8,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,8,NA,NA,NA,NA
Kim-Joy,27,Mental health specialist,Leeds,9,9,NA,2,IN,NA
Rahul,30,Research scientist,Rotherham,9,9,NA,4,IN,NA
Briony,33,Full-time parent,Bristol,9,9,NA,3,OUT,NA
Ruby,29,Project manager,London,9,9,NA,1,STAR BAKER,NA
Antony,30,Banker,London,9,9,NA,NA,NA,NA
Dan,36,Full-time parent,London,9,9,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,9,NA,NA,NA,NA
Jon,47,Blood courier,Newport,9,9,NA,NA,NA,NA
Karen,60,In-store sampling assistant,Wakefield,9,9,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,9,NA,NA,NA,NA
Manon,26,Software project manager,London,9,9,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,9,NA,NA,NA,NA
Kim-Joy,27,Mental health specialist,Leeds,9,10,NA,1,Runner-up,NA
Ruby,29,Project manager,London,9,10,NA,3,Runner-up,NA
Rahul,30,Research scientist,Rotherham,9,10,NA,2,WINNER,NA
Antony,30,Banker,London,9,10,NA,NA,NA,NA
Briony,33,Full-time parent,Bristol,9,10,NA,NA,NA,NA
Dan,36,Full-time parent,London,9,10,NA,NA,NA,NA
Imelda,33,Countryside recreation officer,County Tyrone,9,10,NA,NA,NA,NA
Jon,47,Blood courier,Newport,9,10,NA,NA,NA,NA
Karen,60,In-store sampling assistant,Wakefield,9,10,NA,NA,NA,NA
Luke,30,Civil servant/house and techno DJ,Sheffield,9,10,NA,NA,NA,NA
Manon,26,Software project manager,London,9,10,NA,NA,NA,NA
Terry,56,Retired air steward,West Midlands,9,10,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,1,NA,5,IN,NA
Amelia,24,Fashion designer,Halifax,10,1,NA,4,IN,NA
David,36,International health adviser,Whitby,10,1,NA,10,IN,NA
Helena,40,Online project manager,Leeds,10,1,NA,12,IN,NA
Henry,20,Student,Durham,10,1,NA,1,IN,NA
Jamie,20,Part-time waiter,Surrey,10,1,NA,13,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,1,NA,11,IN,NA
Phil,56,HGV driver,Rainham,10,1,NA,8,IN,NA
Priya,34,Marketing consultant,Leicester,10,1,NA,7,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,1,NA,2,IN,NA
Steph,28,Shop assistant,Chester,10,1,NA,3,IN,NA
Dan,32,Support worker,Rotherham,10,1,NA,9,OUT,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,1,NA,6,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,2,NA,9,IN,NA
David,36,International health adviser,Whitby,10,2,NA,2,IN,NA
Helena,40,Online project manager,Leeds,10,2,NA,12,IN,NA
Henry,20,Student,Durham,10,2,NA,6,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,2,NA,4,IN,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,2,NA,8,IN,NA
Phil,56,HGV driver,Rainham,10,2,NA,3,IN,NA
Priya,34,Marketing consultant,Leicester,10,2,NA,7,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,2,NA,5,IN,NA
Steph,28,Shop assistant,Chester,10,2,NA,10,IN,NA
Jamie,20,Part-time waiter,Surrey,10,2,NA,11,OUT,NA
Alice,28,Geography teacher,Essex,10,2,NA,1,STAR BAKER,NA
Dan,32,Support worker,Rotherham,10,2,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,3,NA,7,IN,NA
David,36,International health adviser,Whitby,10,3,NA,2,IN,NA
Helena,40,Online project manager,Leeds,10,3,NA,8,IN,NA
Henry,20,Student,Durham,10,3,NA,1,IN,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,3,NA,5,IN,NA
Phil,56,HGV driver,Rainham,10,3,NA,10,IN,NA
Priya,34,Marketing consultant,Leicester,10,3,NA,4,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,3,NA,9,IN,NA
Steph,28,Shop assistant,Chester,10,3,NA,3,IN,NA
Amelia,24,Fashion designer,Halifax,10,3,NA,11,OUT,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,3,NA,6,STAR BAKER,NA
Dan,32,Support worker,Rotherham,10,3,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,3,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,4,NA,8,IN,NA
David,36,International health adviser,Whitby,10,4,NA,2,IN,NA
Helena,40,Online project manager,Leeds,10,4,NA,9,IN,NA
Henry,20,Student,Durham,10,4,NA,3,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,4,NA,7,IN,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,4,NA,5,IN,NA
Priya,34,Marketing consultant,Leicester,10,4,NA,10,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,4,NA,4,IN,NA
Phil,56,HGV driver,Rainham,10,4,NA,6,OUT,NA
Steph,28,Shop assistant,Chester,10,4,NA,1,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,4,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,4,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,4,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,5,NA,6,IN,NA
David,36,International health adviser,Whitby,10,5,NA,9,IN,NA
Henry,20,Student,Durham,10,5,NA,3,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,5,NA,8,IN,NA
Priya,34,Marketing consultant,Leicester,10,5,NA,2,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,5,NA,5,IN,NA
Helena,40,Online project manager,Leeds,10,5,NA,1,OUT,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,5,NA,7,OUT,NA
Steph,28,Shop assistant,Chester,10,5,NA,4,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,5,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,5,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,5,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,5,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,6,NA,1,IN,NA
David,36,International health adviser,Whitby,10,6,NA,2,IN,NA
Henry,20,Student,Durham,10,6,NA,4,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,6,NA,6,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,6,NA,5,IN,NA
Priya,34,Marketing consultant,Leicester,10,6,NA,7,OUT,NA
Steph,28,Shop assistant,Chester,10,6,NA,3,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,6,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,6,NA,NA,NA,NA
Helena,40,Online project manager,Leeds,10,6,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,6,NA,NA,NA,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,6,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,6,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,7,NA,6,IN,NA
David,36,International health adviser,Whitby,10,7,NA,2,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,7,NA,1,IN,NA
Steph,28,Shop assistant,Chester,10,7,NA,4,IN,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,7,NA,5,OUT,NA
Henry,20,Student,Durham,10,7,NA,3,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,7,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,7,NA,NA,NA,NA
Helena,40,Online project manager,Leeds,10,7,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,7,NA,NA,NA,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,7,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,7,NA,NA,NA,NA
Priya,34,Marketing consultant,Leicester,10,7,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,8,NA,3,IN,NA
David,36,International health adviser,Whitby,10,8,NA,1,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,8,NA,2,IN,NA
Henry,20,Student,Durham,10,8,NA,5,OUT,NA
Steph,28,Shop assistant,Chester,10,8,NA,4,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,8,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,8,NA,NA,NA,NA
Helena,40,Online project manager,Leeds,10,8,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,8,NA,NA,NA,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,8,NA,NA,NA,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,8,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,8,NA,NA,NA,NA
Priya,34,Marketing consultant,Leicester,10,8,NA,NA,NA,NA
David,36,International health adviser,Whitby,10,9,NA,2,IN,NA
Steph,28,Shop assistant,Chester,10,9,NA,3,IN,NA
Rosie,28,Veterinary surgeon,Somerset,10,9,NA,1,OUT,NA
Alice,28,Geography teacher,Essex,10,9,NA,4,STAR BAKER,NA
Amelia,24,Fashion designer,Halifax,10,9,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,9,NA,NA,NA,NA
Helena,40,Online project manager,Leeds,10,9,NA,NA,NA,NA
Henry,20,Student,Durham,10,9,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,9,NA,NA,NA,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,9,NA,NA,NA,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,9,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,9,NA,NA,NA,NA
Priya,34,Marketing consultant,Leicester,10,9,NA,NA,NA,NA
Alice,28,Geography teacher,Essex,10,10,NA,2,Runner-up,NA
Steph,28,Shop assistant,Chester,10,10,NA,3,Runner-up,NA
David,36,International health adviser,Whitby,10,10,NA,1,WINNER,NA
Amelia,24,Fashion designer,Halifax,10,10,NA,NA,NA,NA
Dan,32,Support worker,Rotherham,10,10,NA,NA,NA,NA
Helena,40,Online project manager,Leeds,10,10,NA,NA,NA,NA
Henry,20,Student,Durham,10,10,NA,NA,NA,NA
Jamie,20,Part-time waiter,Surrey,10,10,NA,NA,NA,NA
Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,10,NA,NA,NA,NA
Michelle,35,Print shop administrator,"Tenby, Wales",10,10,NA,NA,NA,NA
Phil,56,HGV driver,Rainham,10,10,NA,NA,NA,NA
Priya,34,Marketing consultant,Leicester,10,10,NA,NA,NA,NA
Rosie,28,Veterinary surgeon,Somerset,10,10,NA,NA,NA,NA
